parada_id,fecha_inicio,fecha_fin,planta_id,linea_id,equipo_id,tipo_parada,planificada_flag,causa_parada,duracion_horas,impacto_produccion_proxy,impacto_energia_proxy
PAR_00000013,2024-05-09T21:00:00,2024-05-10T07:36:20.532501655,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,CambioFormatoPlanificado,10.606,93.103,1081.558
PAR_00000014,2024-05-12T01:00:00,2024-05-12T04:51:40.470119917,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,ParadaPlanificadaUtilidades,3.861,32.036,305.867
PAR_00000015,2024-05-20T11:21:00,2024-05-20T12:57:55.688203123,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,1.615,11.827,116.361
PAR_00000016,2024-05-21T23:00:00,2024-05-22T02:25:15.729091071,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,MantenimientoPreventivoProgramado,3.421,29.914,161.901
PAR_00000017,2024-06-03T06:16:00,2024-06-03T07:18:20.145684267,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,DesalineacionRodillos,1.039,8.274,173.337
PAR_00000018,2024-06-04T16:39:00,2024-06-04T21:54:20.471042253,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,5.256,44.028,477.204
PAR_00000019,2024-06-08T19:26:00,2024-06-08T20:46:13.593106975,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,NoPlanificada,0,InestabilidadTorque,1.337,10.18,856.357
PAR_00000020,2024-07-02T15:05:00,2024-07-02T19:44:07.023082881,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,AtascoMaterial,4.652,41.702,277.653
PAR_00000021,2024-07-04T02:38:00,2024-07-04T03:48:57.451814500,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,AtascoMaterial,1.183,9.19,100.908
PAR_00000022,2024-07-15T22:00:00,2024-07-16T02:13:12.078173643,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,InspeccionSeguridadReglamentaria,4.22,35.773,620.35
PAR_00000023,2024-07-25T08:41:00,2024-07-25T11:29:06.896960496,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,FalloHidraulico,2.802,22.359,393.137
PAR_00000024,2024-08-01T22:00:00,2024-08-02T01:14:20.887457812,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,MantenimientoPreventivoProgramado,3.239,28.737,775.928
PAR_00000025,2024-08-02T15:35:00,2024-08-02T17:37:51.576063748,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,DesalineacionRodillos,2.048,15.396,257.106
PAR_00000026,2024-08-16T09:00:00,2024-08-16T11:38:18.187530176,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,ParadaPlanificadaUtilidades,2.638,18.226,180.279
PAR_00000027,2024-08-16T20:09:00,2024-08-16T23:11:46.158737078,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,InestabilidadTorque,3.046,29.458,668.772
PAR_00000028,2024-08-24T22:00:00,2024-08-24T23:19:07.155345957,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,DesalineacionRodillos,1.319,10.925,69.443
PAR_00000029,2024-08-29T06:00:00,2024-08-29T07:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,ParadaPlanificadaUtilidades,1.2,8.58,89.935
PAR_00000030,2024-09-01T00:31:00,2024-09-01T01:59:07.156187572,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,1.469,14.353,56.596
PAR_00000031,2024-10-04T08:00:00,2024-10-04T12:53:03.131346415,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,MantenimientoPreventivoProgramado,4.884,36.137,439.356
PAR_00000032,2024-10-18T04:00:00,2024-10-18T08:51:51.321924702,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,InspeccionSeguridadReglamentaria,4.864,37.624,377.263
PAR_00000033,2024-10-20T10:00:00,2024-10-20T16:25:59.720734664,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,CambioFormatoPlanificado,6.433,51.573,432.667
PAR_00000034,2024-11-06T00:27:00,2024-11-06T01:08:51.539217381,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,0.698,5.096,49.161
PAR_00000035,2024-11-06T23:00:00,2024-11-07T03:29:34.496773382,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Planificada,1,ParadaPlanificadaUtilidades,4.493,32.536,276.256
PAR_00000036,2024-11-22T13:41:00,2024-11-22T14:50:39.399256512,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,InestabilidadTorque,1.161,8.892,89.64
PAR_00000037,2024-11-24T21:37:00,2024-11-24T23:43:40.026742459,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,InestabilidadTorque,2.111,21.508,157.115
PAR_00000038,2024-12-03T13:26:00,2024-12-03T15:48:51.080827134,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,2.381,23.932,141.234
PAR_00000039,2024-12-10T17:00:00,2024-12-10T19:38:13.283075972,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,ParadaPlanificadaUtilidades,2.637,25.442,316.905
PAR_00000040,2024-12-11T06:00:00,2024-12-11T09:09:10.867538224,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,Planificada,1,CambioFormatoPlanificado,3.153,27.653,1425.045
PAR_00000041,2024-12-14T07:15:00,2024-12-14T11:37:58.105135092,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,4.383,34.561,513.337
PAR_00000042,2025-01-15T06:00:00,2025-01-15T11:06:25.355023815,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,MantenimientoPreventivoProgramado,5.107,35.958,345.9
PAR_00000043,2025-01-29T03:38:00,2025-01-29T03:59:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,DesalineacionRodillos,0.35,3.17,28.559
PAR_00000044,2025-02-01T06:00:00,2025-02-01T11:36:10.576981854,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,MantenimientoPreventivoProgramado,5.603,49.415,832.911
PAR_00000045,2025-02-05T14:05:00,2025-02-05T14:39:55.359898406,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,DesalineacionRodillos,0.582,4.595,19.975
PAR_00000046,2025-02-06T07:22:00,2025-02-06T07:55:20.169611585,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,DesalineacionRodillos,0.556,4.535,78.023
PAR_00000047,2025-02-07T16:00:00,2025-02-07T17:46:14.659610732,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,ParadaPlanificadaUtilidades,1.771,12.569,155.333
PAR_00000048,2025-02-11T18:29:00,2025-02-11T19:37:34.993326278,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,FalloHidraulico,1.143,9.005,181.314
PAR_00000049,2025-02-11T21:00:00,2025-02-11T23:17:51.968523357,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,ParadaPlanificadaUtilidades,2.298,21.529,105.728
PAR_00000050,2025-02-12T15:36:00,2025-02-12T22:18:16.400372738,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,DesalineacionRodillos,6.705,66.774,1075.631
PAR_00000051,2025-03-04T17:17:00,2025-03-04T19:02:46.124316864,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,FalloHidraulico,1.763,14.177,346.927
PAR_00000052,2025-03-15T14:38:00,2025-03-15T19:25:22.438563176,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,FalloHidraulico,4.79,33.269,276.855
PAR_00000053,2025-03-26T03:25:00,2025-03-26T05:12:06.536575546,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,FalloHidraulico,1.785,18.031,109.755
PAR_00000054,2025-04-01T00:32:00,2025-04-01T04:00:05.352474100,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,FalloHidraulico,3.468,32.817,191.567
PAR_00000055,2025-04-04T15:00:00,2025-04-04T18:37:42.117626013,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,ParadaPlanificadaUtilidades,3.628,36.563,263.187
PAR_00000056,2025-04-21T01:26:00,2025-04-21T04:08:39.224974258,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,DesalineacionRodillos,2.711,27.613,107.781
PAR_00000057,2025-04-26T01:05:00,2025-04-26T04:49:22.346554693,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,3.74,35.575,262.698
PAR_00000058,2025-04-27T23:43:00,2025-04-28T06:10:56.282889272,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,InestabilidadTorque,6.466,53.146,539.148
PAR_00000059,2025-05-01T05:28:00,2025-05-01T07:19:14.325174280,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,InestabilidadTorque,1.854,16.028,157.58
PAR_00000060,2025-05-01T14:00:00,2025-05-01T15:38:34.374712099,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,CambioFormatoPlanificado,1.643,13.542,320.394
PAR_00000061,2025-05-11T06:08:00,2025-05-11T07:47:25.725664213,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,1.657,13.854,161.09
PAR_00000062,2025-05-12T07:11:00,2025-05-12T07:55:20.369815386,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,AtascoMaterial,0.739,7.359,43.664
PAR_00000063,2025-05-20T08:00:00,2025-05-20T09:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,MantenimientoPreventivoProgramado,1.2,8.817,103.088
PAR_00000064,2025-06-11T21:15:00,2025-06-12T01:06:51.615438008,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,DesalineacionRodillos,3.864,30.788,279.627
PAR_00000065,2025-06-12T06:42:00,2025-06-12T07:29:58.080710896,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,DesalineacionRodillos,0.799,5.701,70.246
PAR_00000066,2025-06-14T10:10:00,2025-06-14T12:57:06.322508955,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,FalloHidraulico,2.785,27.238,402.559
PAR_00000067,2025-06-18T20:43:00,2025-06-18T21:10:48.073408909,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,NoPlanificada,0,InestabilidadTorque,0.463,3.24,63.895
PAR_00000068,2025-07-02T13:40:00,2025-07-02T14:05:51.670418023,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,NoPlanificada,0,DesalineacionRodillos,0.431,3.728,266.004
PAR_00000069,2025-07-08T10:00:00,2025-07-08T14:01:22.883244985,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,MantenimientoPreventivoProgramado,4.023,27.686,329.707
PAR_00000070,2025-07-14T16:05:00,2025-07-14T17:52:56.007287322,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,AtascoMaterial,1.799,14.127,85.354
PAR_00000071,2025-07-15T11:00:00,2025-07-15T12:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,MantenimientoPreventivoProgramado,1.2,10.744,158.069
PAR_00000072,2025-07-15T14:00:00,2025-07-15T15:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,MantenimientoPreventivoProgramado,1.2,10.801,117.823
PAR_00000073,2025-07-18T23:15:00,2025-07-19T07:04:25.854273721,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,NoPlanificada,0,FalloHidraulico,7.824,60.83,2687.713
PAR_00000074,2025-07-20T02:39:00,2025-07-20T05:52:26.275147716,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,3.224,22.714,302.163
PAR_00000075,2025-07-22T07:45:00,2025-07-22T09:45:09.886392766,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,DesalineacionRodillos,2.003,14.098,404.281
PAR_00000076,2025-09-01T20:02:00,2025-09-01T20:41:16.392022153,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,DesalineacionRodillos,0.655,4.884,78.414
PAR_00000077,2025-09-12T11:12:00,2025-09-12T14:10:14.453506430,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,2.971,25.35,267.81
PAR_00000078,2025-09-27T04:18:00,2025-09-27T07:24:08.767241204,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,InestabilidadTorque,3.102,24.249,364.779
PAR_00000079,2025-10-16T01:00:00,2025-10-16T05:16:58.904810356,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Planificada,1,ParadaPlanificadaUtilidades,4.283,31.822,268.685
PAR_00000080,2025-10-16T10:01:00,2025-10-16T12:08:00.819336061,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,InestabilidadTorque,2.117,19.505,177.217
PAR_00000081,2025-10-22T02:28:00,2025-10-22T05:22:31.549335620,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,InestabilidadTorque,2.909,20.367,153.055
PAR_00000082,2025-10-28T14:06:00,2025-10-28T18:34:04.028126307,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,InestabilidadTorque,4.468,32.598,253.708
PAR_00000083,2025-10-31T03:19:00,2025-10-31T11:19:11.727131256,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,InestabilidadTorque,8.003,66.016,454.459
PAR_00000084,2025-11-04T08:27:00,2025-11-04T09:20:16.092401787,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,NoPlanificada,0,AtascoMaterial,0.888,8.94,210.963
PAR_00000085,2025-11-13T04:36:00,2025-11-13T06:06:22.834917338,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,NoPlanificada,0,FalloHidraulico,1.506,13.943,83.598
PAR_00000086,2025-11-27T18:00:00,2025-11-27T22:51:32.065303438,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Planificada,1,MantenimientoPreventivoProgramado,4.859,37.609,1208.291
PAR_00000087,2025-12-01T06:00:00,2025-12-01T08:09:16.599091939,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Planificada,1,CambioFormatoPlanificado,2.155,15.809,165.195
PAR_00000088,2025-12-18T12:04:00,2025-12-18T16:59:52.910283813,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,AtascoMaterial,4.931,38.901,368.968
PAR_00000089,2025-12-27T08:26:00,2025-12-27T10:59:47.949676880,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,NoPlanificada,0,DesalineacionRodillos,2.563,22.067,263.618
PAR_00000090,2024-01-05T12:00:00,2024-01-05T21:31:16.953254403,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Planificada,1,InspeccionSeguridadReglamentaria,9.521,52.205,1150.504
PAR_00000091,2024-01-16T01:29:00,2024-01-16T04:25:28.009520736,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,TermoparDescalibrado,2.941,15.661,474.392
PAR_00000092,2024-01-22T07:34:00,2024-01-22T08:23:13.049503032,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,TermoparDescalibrado,0.82,5.123,157.67
PAR_00000093,2024-01-24T07:44:00,2024-01-24T08:05:04.057396869,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,FalloQuemador,0.351,2.431,120.327
PAR_00000094,2024-01-28T20:23:00,2024-01-29T00:07:44.389247964,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,CurvaTermicaFueraBanda,3.746,23.675,712.498
PAR_00000095,2024-02-02T13:37:00,2024-02-02T14:01:27.280888477,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,NoPlanificada,0,TermoparDescalibrado,0.408,2.68,60.466
PAR_00000096,2024-02-04T16:00:00,2024-02-04T17:46:51.398781405,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,NoPlanificada,0,FalloQuemador,1.781,8.614,263.223
PAR_00000097,2024-02-10T00:00:00,2024-02-10T03:06:44.780006894,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,Planificada,1,InspeccionSeguridadReglamentaria,3.112,15.5,1223.12
PAR_00000098,2024-02-11T01:06:00,2024-02-11T03:11:02.371759353,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,TermoparDescalibrado,2.084,10.586,251.008
PAR_00000099,2024-02-25T18:11:00,2024-02-25T18:43:43.526364925,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,NoPlanificada,0,CurvaTermicaFueraBanda,0.545,3.548,115.931
PAR_00000100,2024-03-04T03:00:00,2024-03-04T05:12:32.726765311,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,NoPlanificada,0,CaidaGasIndustrial,2.209,11.415,146.003
PAR_00000101,2024-03-04T09:00:00,2024-03-04T12:36:11.483071592,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,Planificada,1,MantenimientoPreventivoProgramado,3.603,23.651,245.397
PAR_00000102,2024-03-13T03:12:00,2024-03-13T10:41:37.418703734,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,FalloQuemador,7.494,41.852,1256.86
PAR_00000103,2024-03-16T05:04:00,2024-03-16T05:36:56.621897797,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,NoPlanificada,0,CurvaTermicaFueraBanda,0.549,3.02,57.739
PAR_00000104,2024-03-16T20:00:00,2024-03-16T22:01:30.512360809,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,Planificada,1,CambioFormatoPlanificado,2.025,13.757,192.849
PAR_00000105,2024-03-19T00:02:00,2024-03-19T00:56:11.962438142,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,NoPlanificada,0,CurvaTermicaFueraBanda,0.903,5.916,42.874
PAR_00000106,2024-03-22T04:30:00,2024-03-22T05:53:06.856816938,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,CaidaGasIndustrial,1.385,9.815,192.026
PAR_00000107,2024-04-02T09:42:00,2024-04-02T11:36:14.556372235,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,CurvaTermicaFueraBanda,1.904,13.27,488.215
PAR_00000108,2024-04-05T10:31:00,2024-04-05T13:14:47.554453704,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,CurvaTermicaFueraBanda,2.73,14.054,293.981
PAR_00000109,2024-04-09T03:43:00,2024-04-09T05:40:14.389442751,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,CaidaGasIndustrial,1.954,13.376,294.177
PAR_00000110,2024-04-10T03:02:00,2024-04-10T06:37:38.904668991,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,NoPlanificada,0,TermoparDescalibrado,3.594,17.636,431.075
PAR_00000111,2024-04-10T18:02:00,2024-04-10T20:31:40.520209416,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,CaidaGasIndustrial,2.495,17.203,388.811
PAR_00000112,2024-04-12T03:14:00,2024-04-12T06:07:31.215185192,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,CurvaTermicaFueraBanda,2.892,13.858,612.543
PAR_00000113,2024-06-11T03:00:00,2024-06-11T06:35:17.015245854,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Planificada,1,CambioFormatoPlanificado,3.588,24.472,806.247
PAR_00000114,2024-06-14T05:22:00,2024-06-14T08:31:30.473384486,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,TermoparDescalibrado,3.158,22.492,515.3
PAR_00000115,2024-06-19T19:00:00,2024-06-19T21:04:31.405946329,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,Planificada,1,CambioFormatoPlanificado,2.075,14.117,484.304
PAR_00000116,2024-06-20T01:06:00,2024-06-20T01:27:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ05,NoPlanificada,0,CurvaTermicaFueraBanda,0.35,1.991,17.033
PAR_00000117,2024-06-21T08:00:00,2024-06-21T10:11:33.630271368,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Planificada,1,ParadaPlanificadaUtilidades,2.193,11.043,588.243
PAR_00000118,2024-06-22T23:25:00,2024-06-23T00:25:12.038706241,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,NoPlanificada,0,CaidaGasIndustrial,1.003,4.934,312.176
PAR_00000119,2024-06-25T06:00:00,2024-06-25T07:12:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,Planificada,1,ParadaPlanificadaUtilidades,1.2,7.424,257.7
PAR_00000120,2024-06-27T05:24:00,2024-06-27T06:05:20.264727091,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,TermoparDescalibrado,0.689,3.48,67.435
PAR_00000121,2024-06-29T11:14:00,2024-06-29T13:12:45.979160253,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,FalloQuemador,1.979,11.116,476.446
PAR_00000122,2024-06-30T23:39:00,2024-07-01T01:56:29.570511076,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,NoPlanificada,0,TermoparDescalibrado,2.292,15.721,252.446
PAR_00000123,2024-07-01T14:00:00,2024-07-01T18:59:45.262012776,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,Planificada,1,InspeccionSeguridadReglamentaria,4.996,32.323,733.396
PAR_00000124,2024-07-03T23:31:00,2024-07-04T00:10:16.981339251,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,NoPlanificada,0,FalloQuemador,0.655,4.195,58.873
PAR_00000125,2024-07-24T17:00:00,2024-07-25T00:35:22.916340211,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,Planificada,1,ParadaPlanificadaUtilidades,7.59,37.401,401.25
PAR_00000126,2024-07-28T09:21:00,2024-07-28T09:42:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,NoPlanificada,0,CurvaTermicaFueraBanda,0.35,1.861,47.024
