mantenimiento_id,fecha_inicio,fecha_fin,planta_id,linea_id,equipo_id,tipo_mantenimiento,programado_flag,correctivo_flag,horas_mantenimiento,coste_mantenimiento_proxy,resultado_mantenimiento
MAN_00000025,2024-08-16T09:00:00,2024-08-16T12:00:43,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,OverhaulParcial,1,0,3.012,1897.09,Exitoso
MAN_00000026,2024-08-16T20:09:00,2024-08-16T23:12:49,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoTermico,0,1,3.064,2000.64,Estabilizado
MAN_00000027,2024-08-24T22:00:00,2024-08-24T23:31:35,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,1.527,1074.27,Estabilizado
MAN_00000028,2024-08-29T06:00:00,2024-08-29T06:58:12,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Predictivo,1,0,0.97,799.76,ExitosoConAjustes
MAN_00000029,2024-09-01T00:31:00,2024-09-01T02:04:06,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoMecanico,0,1,1.552,1441.83,Recuperado
MAN_00000030,2024-10-04T08:00:00,2024-10-04T13:06:55,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Preventivo,1,0,5.115,3950.38,Exitoso
MAN_00000031,2024-10-18T04:00:00,2024-10-18T09:10:15,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Predictivo,1,0,5.171,4697.35,Exitoso
MAN_00000032,2024-10-20T10:00:00,2024-10-20T14:41:36,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Predictivo,1,0,4.693,2934.12,Exitoso
MAN_00000033,2024-11-06T00:27:00,2024-11-06T01:18:22,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoMecanico,0,1,0.856,636.66,Estabilizado
MAN_00000034,2024-11-06T23:00:00,2024-11-07T03:26:18,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,Predictivo,1,0,4.438,3990.62,Exitoso
MAN_00000035,2024-11-22T13:41:00,2024-11-22T14:47:32,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoMecanico,0,1,1.109,843.78,Estabilizado
MAN_00000036,2024-11-24T21:37:00,2024-11-24T23:51:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoInstrumentacion,0,1,2.234,1544.31,Estabilizado
MAN_00000037,2024-12-03T13:26:00,2024-12-03T15:15:55,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoMecanico,0,1,1.832,1620.99,Estabilizado
MAN_00000038,2024-12-10T17:00:00,2024-12-10T20:22:20,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,OverhaulParcial,1,0,3.372,2627.08,PendienteOptimizar
MAN_00000039,2024-12-11T06:00:00,2024-12-11T08:21:14,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,OverhaulParcial,1,0,2.354,1094.26,Exitoso
MAN_00000040,2024-12-14T07:15:00,2024-12-14T10:39:23,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoTermico,0,1,3.407,2871.05,Estabilizado
MAN_00000041,2025-01-15T06:00:00,2025-01-15T11:12:19,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Predictivo,1,0,5.205,3601.75,Exitoso
MAN_00000042,2025-01-29T03:38:00,2025-01-29T04:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoTermico,0,1,0.5,358.8,Estabilizado
MAN_00000043,2025-02-01T06:00:00,2025-02-01T10:40:54,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Predictivo,1,0,4.682,2916.88,Exitoso
MAN_00000044,2025-02-05T14:05:00,2025-02-05T14:48:26,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoMecanico,0,1,0.724,517.29,ParcialConSeguimiento
MAN_00000045,2025-02-06T07:22:00,2025-02-06T07:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,0.5,347.11,ParcialConSeguimiento
MAN_00000046,2025-02-07T16:00:00,2025-02-07T17:56:59,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Predictivo,1,0,1.95,1325.03,Exitoso
MAN_00000047,2025-02-11T18:29:00,2025-02-11T19:51:41,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,1.378,1004.61,Estabilizado
MAN_00000048,2025-02-11T21:00:00,2025-02-11T23:50:53,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Predictivo,1,0,2.848,1856.75,Exitoso
MAN_00000049,2025-02-12T15:36:00,2025-02-12T23:47:01,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,8.184,6713.99,Recuperado
MAN_00000050,2025-03-04T17:17:00,2025-03-04T18:43:28,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoInstrumentacion,0,1,1.441,1148.98,ParcialConSeguimiento
MAN_00000051,2025-03-15T14:38:00,2025-03-15T20:13:35,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoInstrumentacion,0,1,5.593,5205.34,ParcialConSeguimiento
MAN_00000052,2025-03-26T03:25:00,2025-03-26T05:28:31,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoTermico,0,1,2.059,1582.63,Estabilizado
MAN_00000053,2025-04-01T00:32:00,2025-04-01T04:07:15,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoMecanico,0,1,3.588,2737.13,Recuperado
MAN_00000054,2025-04-04T15:00:00,2025-04-04T17:40:46,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Predictivo,1,0,2.68,1952.9,Exitoso
MAN_00000055,2025-04-21T01:26:00,2025-04-21T03:50:15,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoInstrumentacion,0,1,2.404,1924.49,Recuperado
MAN_00000056,2025-04-26T01:05:00,2025-04-26T04:18:01,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoTermico,0,1,3.217,2887.97,ParcialConSeguimiento
MAN_00000057,2025-04-27T23:43:00,2025-04-28T06:33:03,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoMecanico,0,1,6.834,4765.79,Estabilizado
MAN_00000058,2025-05-01T05:28:00,2025-05-01T07:24:11,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoTermico,0,1,1.936,1563.96,Estabilizado
MAN_00000059,2025-05-01T14:00:00,2025-05-01T15:11:06,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Predictivo,1,0,1.185,919.04,Exitoso
MAN_00000060,2025-05-11T06:08:00,2025-05-11T07:49:24,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoTermico,0,1,1.69,1397.74,ParcialConSeguimiento
MAN_00000061,2025-05-12T07:11:00,2025-05-12T07:50:20,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoTermico,0,1,0.656,501.12,Recuperado
MAN_00000062,2025-05-20T08:00:00,2025-05-20T09:10:56,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Predictivo,1,0,1.182,748.53,Exitoso
MAN_00000063,2025-06-11T21:15:00,2025-06-12T00:20:26,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoTermico,0,1,3.091,2018.68,ParcialConSeguimiento
MAN_00000064,2025-06-12T06:42:00,2025-06-12T07:36:46,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoMecanico,0,1,0.913,592.13,Recuperado
MAN_00000065,2025-06-14T10:10:00,2025-06-14T13:32:49,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoInstrumentacion,0,1,3.381,2195.44,Estabilizado
MAN_00000066,2025-06-18T20:43:00,2025-06-18T21:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,CorrectivoMecanico,0,1,0.5,408.8,Estabilizado
MAN_00000067,2025-07-02T13:40:00,2025-07-02T14:10:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,CorrectivoMecanico,0,1,0.5,283.2,Estabilizado
MAN_00000068,2025-07-08T10:00:00,2025-07-08T12:58:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Preventivo,1,0,2.967,1947.8,Exitoso
MAN_00000069,2025-07-14T16:05:00,2025-07-14T17:58:48,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoInstrumentacion,0,1,1.897,1561.36,Estabilizado
MAN_00000070,2025-07-15T11:00:00,2025-07-15T11:53:31,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Predictivo,1,0,0.892,598.98,Exitoso
MAN_00000071,2025-07-15T14:00:00,2025-07-15T15:07:31,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Predictivo,1,0,1.125,905.03,Exitoso
MAN_00000072,2025-07-18T23:15:00,2025-07-19T05:56:11,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,CorrectivoMecanico,0,1,6.687,2922.71,Estabilizado
MAN_00000073,2025-07-20T02:39:00,2025-07-20T05:02:30,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoInstrumentacion,0,1,2.392,2135.2,Estabilizado
MAN_00000074,2025-07-22T07:45:00,2025-07-22T09:30:56,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoInstrumentacion,0,1,1.766,1140.92,Estabilizado
MAN_00000075,2025-09-01T20:02:00,2025-09-01T20:49:41,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoMecanico,0,1,0.795,625.6,ParcialConSeguimiento
MAN_00000076,2025-09-12T11:12:00,2025-09-12T14:11:20,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoTermico,0,1,2.989,2674.19,ParcialConSeguimiento
MAN_00000077,2025-09-27T04:18:00,2025-09-27T08:03:43,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoInstrumentacion,0,1,3.762,2943.38,Recuperado
MAN_00000078,2025-10-16T01:00:00,2025-10-16T05:12:28,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,Predictivo,1,0,4.208,2594.59,Exitoso
MAN_00000079,2025-10-16T10:01:00,2025-10-16T12:42:59,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoMecanico,0,1,2.7,2153.81,Recuperado
MAN_00000080,2025-10-22T02:28:00,2025-10-22T05:45:37,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoMecanico,0,1,3.294,2325.18,Recuperado
MAN_00000081,2025-10-28T14:06:00,2025-10-28T17:41:59,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoTermico,0,1,3.6,2267.25,Estabilizado
MAN_00000082,2025-10-31T03:19:00,2025-10-31T09:49:39,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoMecanico,0,1,6.511,4113.83,ParcialConSeguimiento
MAN_00000083,2025-11-04T08:27:00,2025-11-04T09:26:22,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,CorrectivoTermico,0,1,0.99,615.31,Estabilizado
MAN_00000084,2025-11-13T04:36:00,2025-11-13T06:07:17,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,CorrectivoTermico,0,1,1.522,1181.85,Recuperado
MAN_00000085,2025-11-27T18:00:00,2025-11-27T22:55:15,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,Predictivo,1,0,4.921,3338.12,Exitoso
MAN_00000086,2025-12-01T06:00:00,2025-12-01T08:44:44,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,Preventivo,1,0,2.746,2256.7,Exitoso
MAN_00000087,2025-12-27T08:26:00,2025-12-27T10:21:53,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,CorrectivoInstrumentacion,0,1,1.931,1736.15,Recuperado
MAN_00000088,2024-01-05T12:00:00,2024-01-05T23:20:01,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Preventivo,1,0,11.334,11164.55,ExitosoConAjustes
MAN_00000089,2024-01-16T01:29:00,2024-01-16T04:48:26,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoMecanico,0,1,3.324,2847.41,ParcialConSeguimiento
MAN_00000090,2024-01-22T07:34:00,2024-01-22T08:23:43,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoInstrumentacion,0,1,0.829,606.43,Estabilizado
MAN_00000091,2024-01-24T07:44:00,2024-01-24T08:14:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoInstrumentacion,0,1,0.5,314.11,Estabilizado
MAN_00000092,2024-02-02T13:37:00,2024-02-02T14:07:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,CorrectivoInstrumentacion,0,1,0.5,325.32,Recuperado
MAN_00000093,2024-02-04T16:00:00,2024-02-04T17:53:54,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoInstrumentacion,0,1,1.898,1250.6,Recuperado
MAN_00000094,2024-02-10T00:00:00,2024-02-10T03:40:43,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,OverhaulParcial,1,0,3.679,2744.19,Exitoso
MAN_00000095,2024-02-11T01:06:00,2024-02-11T03:44:34,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoMecanico,0,1,2.643,2671.5,Estabilizado
MAN_00000096,2024-02-25T18:11:00,2024-02-25T18:41:33,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,CorrectivoInstrumentacion,0,1,0.509,270.96,Estabilizado
MAN_00000097,2024-03-04T03:00:00,2024-03-04T05:01:25,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoTermico,0,1,2.024,1430.3,Recuperado
MAN_00000098,2024-03-04T09:00:00,2024-03-04T13:33:51,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,OverhaulParcial,1,0,4.564,2919.11,Exitoso
MAN_00000099,2024-03-13T03:12:00,2024-03-13T10:12:24,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoMecanico,0,1,7.007,6505.53,ParcialConSeguimiento
MAN_00000100,2024-03-16T05:04:00,2024-03-16T05:44:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoInstrumentacion,0,1,0.667,433.42,Recuperado
MAN_00000101,2024-03-16T20:00:00,2024-03-16T22:22:27,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,Predictivo,1,0,2.374,1762.9,ExitosoConAjustes
MAN_00000102,2024-03-19T00:02:00,2024-03-19T00:55:22,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoMecanico,0,1,0.89,634.62,Estabilizado
MAN_00000103,2024-03-22T04:30:00,2024-03-22T06:04:58,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoMecanico,0,1,1.583,1395.12,Estabilizado
MAN_00000104,2024-04-02T09:42:00,2024-04-02T11:59:17,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoInstrumentacion,0,1,2.288,1778.58,ParcialConSeguimiento
MAN_00000105,2024-04-05T10:31:00,2024-04-05T12:41:05,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoInstrumentacion,0,1,2.168,1998.44,Estabilizado
MAN_00000106,2024-04-09T03:43:00,2024-04-09T05:52:38,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoMecanico,0,1,2.161,1532.82,Recuperado
MAN_00000107,2024-04-10T03:02:00,2024-04-10T06:26:56,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,CorrectivoTermico,0,1,3.416,2301.22,Estabilizado
MAN_00000108,2024-04-10T18:02:00,2024-04-10T21:11:50,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoTermico,0,1,3.164,2642.05,Estabilizado
MAN_00000109,2024-04-12T03:14:00,2024-04-12T06:48:15,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoMecanico,0,1,3.571,3191.23,Estabilizado
MAN_00000110,2024-06-11T03:00:00,2024-06-11T06:00:57,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Predictivo,1,0,3.016,2652.45,Exitoso
MAN_00000111,2024-06-14T05:22:00,2024-06-14T08:01:51,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoMecanico,0,1,2.664,1747.88,Recuperado
MAN_00000112,2024-06-19T19:00:00,2024-06-19T20:30:36,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,Preventivo,1,0,1.51,947.29,Exitoso
MAN_00000113,2024-06-20T01:06:00,2024-06-20T01:36:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ05,CorrectivoTermico,0,1,0.5,236.34,ParcialConSeguimiento
MAN_00000114,2024-06-21T08:00:00,2024-06-21T09:58:13,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Preventivo,1,0,1.97,1557.31,ExitosoConAjustes
MAN_00000115,2024-06-22T23:25:00,2024-06-23T00:35:59,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoInstrumentacion,0,1,1.183,916.86,ParcialConSeguimiento
MAN_00000116,2024-06-25T06:00:00,2024-06-25T06:53:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,Predictivo,1,0,0.883,475.99,ExitosoConAjustes
MAN_00000117,2024-06-27T05:24:00,2024-06-27T05:55:38,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoMecanico,0,1,0.527,427.36,Estabilizado
MAN_00000118,2024-06-29T11:14:00,2024-06-29T12:43:34,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,CorrectivoInstrumentacion,0,1,1.493,1298.93,ParcialConSeguimiento
MAN_00000119,2024-07-01T14:00:00,2024-07-01T20:08:36,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,Preventivo,1,0,6.143,4597.29,Exitoso
MAN_00000120,2024-07-03T23:31:00,2024-07-04T00:01:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoInstrumentacion,0,1,0.5,336.94,Estabilizado
MAN_00000121,2024-07-24T17:00:00,2024-07-25T00:28:09,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,Predictivo,1,0,7.469,4534.7,Exitoso
MAN_00000122,2024-07-28T09:21:00,2024-07-28T09:51:00,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoInstrumentacion,0,1,0.5,345.19,Estabilizado
MAN_00000123,2024-08-04T05:00:00,2024-08-04T11:30:15,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Predictivo,1,0,6.504,5653.86,ExitosoConAjustes
MAN_00000124,2024-08-25T05:00:00,2024-08-25T13:43:51,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ01,OverhaulParcial,1,0,8.731,4615.0,Exitoso
MAN_00000125,2024-09-06T00:35:00,2024-09-06T03:41:41,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ05,CorrectivoMecanico,0,1,3.112,1581.99,Estabilizado
MAN_00000126,2024-09-12T09:09:00,2024-09-12T14:44:15,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ04,CorrectivoInstrumentacion,0,1,5.588,4604.08,Recuperado
MAN_00000127,2024-09-26T01:45:00,2024-09-26T06:21:19,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ05,CorrectivoInstrumentacion,0,1,4.606,2670.14,Estabilizado
MAN_00000128,2024-09-28T18:00:00,2024-09-28T20:07:21,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,OverhaulParcial,1,0,2.123,1138.49,Exitoso
MAN_00000129,2024-10-27T03:00:00,2024-10-27T06:49:02,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,Preventivo,1,0,3.817,2219.83,PendienteOptimizar
MAN_00000130,2024-10-29T16:09:00,2024-10-29T21:04:19,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ02,CorrectivoMecanico,0,1,4.922,3950.32,ParcialConSeguimiento
MAN_00000131,2024-11-10T17:00:00,2024-11-10T19:20:32,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,OverhaulParcial,1,0,2.342,1621.76,Exitoso
MAN_00000132,2024-11-24T13:00:00,2024-11-24T17:03:27,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Preventivo,1,0,4.058,4220.67,Exitoso
MAN_00000133,2024-12-04T11:00:00,2024-12-04T17:41:01,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ03,Predictivo,1,0,6.684,5440.89,Exitoso
MAN_00000134,2024-12-16T06:13:00,2024-12-16T06:49:08,PLT_BIZ,PLT_BIZ_L02,PLT_BIZ_L02_EQ06,CorrectivoInstrumentacion,0,1,0.602,406.6,ParcialConSeguimiento
