desvio_id,timestamp,planta_id,linea_id,equipo_id,variable_proceso,valor_observado,valor_objetivo,desviacion_pct,severidad_desvio,duracion_min,causa_probable_proxy,impacto_en_calidad_proxy
DES_00000014,2024-01-13T00:46:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,123.6297,128.0,-3.4143,Bajo,26.02,TransitorioArranque,0.2365
DES_00000015,2024-01-13T17:24:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,447.1877,420.0,6.4733,Medio,7.184,InestabilidadControlPID,0.1934
DES_00000016,2024-01-14T07:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,117.9693,128.0,-7.8365,Alto,7.361,SetpointFueraBanda,0.4807
DES_00000017,2024-01-15T22:44:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,446.9767,420.0,6.423,Medio,14.706,MateriaPrimaVariable,0.3154
DES_00000018,2024-01-16T00:22:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.5499,3.2,10.9348,Alto,43.553,MateriaPrimaVariable,0.6153
DES_00000019,2024-01-20T14:03:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.2386,3.2,1.2075,Bajo,9.419,MateriaPrimaVariable,0.19
DES_00000020,2024-01-22T11:24:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.0602,3.2,-4.3698,Medio,20.789,MateriaPrimaVariable,0.3211
DES_00000021,2024-01-23T04:21:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,vibracion,3.3578,3.2,4.9311,Medio,10.54,DerivaInstrumentacion,0.2837
DES_00000022,2024-01-24T15:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,389.0415,420.0,-7.3711,Medio,18.703,DerivaInstrumentacion,0.2122
DES_00000023,2024-01-27T01:14:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,414.8448,420.0,-1.2274,Bajo,8.195,TransitorioArranque,0.1288
DES_00000024,2024-01-27T02:35:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.3967,3.2,6.1478,Medio,62.681,SetpointFueraBanda,0.4507
DES_00000025,2024-01-28T04:37:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.0334,3.2,-5.2059,Medio,34.088,DerivaInstrumentacion,0.2634
DES_00000026,2024-02-01T07:11:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,138.1521,128.0,7.9313,Alto,43.741,MateriaPrimaVariable,0.612
DES_00000027,2024-02-02T06:53:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.0921,3.2,-3.3731,Bajo,70.992,MateriaPrimaVariable,0.2975
DES_00000028,2024-02-03T10:02:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,121.8794,128.0,-4.7817,Medio,25.406,SetpointFueraBanda,0.3089
DES_00000029,2024-02-05T10:28:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,446.7747,420.0,6.3749,Medio,16.468,SetpointFueraBanda,0.4837
DES_00000030,2024-02-05T21:43:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,120.7743,128.0,-5.6451,Medio,20.863,TransitorioArranque,0.2665
DES_00000031,2024-02-07T11:34:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,129.3781,128.0,1.0767,Bajo,21.444,InestabilidadControlPID,0.1604
DES_00000032,2024-02-07T12:21:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,410.8743,420.0,-2.1728,Bajo,13.067,DerivaInstrumentacion,0.074
DES_00000033,2024-02-10T03:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,379.3372,420.0,-9.6816,Alto,16.895,MateriaPrimaVariable,0.6552
DES_00000034,2024-02-16T10:34:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.1085,3.2,-2.8584,Bajo,18.567,MateriaPrimaVariable,0.158
DES_00000035,2024-02-19T05:03:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.1459,3.2,-1.69,Bajo,25.873,SetpointFueraBanda,0.2438
DES_00000036,2024-02-21T03:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,131.792,128.0,2.9625,Bajo,30.41,InestabilidadControlPID,0.1107
DES_00000037,2024-02-21T03:39:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,125.8863,128.0,-1.6513,Bajo,46.632,InestabilidadControlPID,0.2155
DES_00000038,2024-02-21T05:37:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,120.3253,128.0,-5.9959,Medio,24.292,DerivaInstrumentacion,0.4537
DES_00000039,2024-02-22T20:01:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.3439,3.2,4.4957,Medio,11.219,SetpointFueraBanda,0.3023
DES_00000040,2024-02-26T17:11:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,124.2535,128.0,-2.9269,Bajo,18.737,InestabilidadControlPID,0.2607
DES_00000041,2024-02-29T17:47:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.1626,3.2,-1.1679,Bajo,14.47,DerivaInstrumentacion,0.2119
DES_00000042,2024-03-04T20:48:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,torque_eje,390.5588,420.0,-7.0098,Medio,6.212,TransitorioArranque,0.3553
DES_00000043,2024-03-06T20:48:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,414.7927,420.0,-1.2398,Bajo,23.007,SetpointFueraBanda,0.0664
DES_00000044,2024-03-10T21:46:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.0967,3.2,-3.2272,Bajo,14.59,MateriaPrimaVariable,0.122
DES_00000045,2024-03-11T20:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,vibracion,3.5099,3.2,9.6858,Alto,17.703,MateriaPrimaVariable,0.5659
DES_00000046,2024-03-12T03:30:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.3964,3.2,6.1379,Medio,29.466,SetpointFueraBanda,0.3684
DES_00000047,2024-03-12T05:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.1213,3.2,-2.4593,Bajo,14.086,SetpointFueraBanda,0.0343
DES_00000048,2024-03-14T08:53:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,presion_hidraulica,136.1453,128.0,6.3635,Medio,14.713,MateriaPrimaVariable,0.376
DES_00000049,2024-03-14T22:41:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,torque_eje,413.1519,420.0,-1.6305,Bajo,16.183,DerivaInstrumentacion,0.1044
DES_00000050,2024-03-15T19:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,453.4053,420.0,7.9536,Alto,30.144,InestabilidadControlPID,0.5157
DES_00000051,2024-03-15T21:01:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.4462,3.2,7.6946,Alto,31.23,SetpointFueraBanda,0.4232
DES_00000052,2024-03-17T01:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.007,3.2,-6.0303,Medio,23.485,TransitorioArranque,0.4313
DES_00000053,2024-03-18T09:30:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,104.1046,128.0,-18.6683,Critico,15.967,DerivaInstrumentacion,0.9167
DES_00000054,2024-03-19T06:02:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,476.3433,420.0,13.4151,Critico,25.99,SetpointFueraBanda,0.7542
DES_00000055,2024-03-19T11:44:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,132.8475,128.0,3.7871,Medio,9.157,TransitorioArranque,0.3443
DES_00000056,2024-03-21T20:06:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,vibracion,2.9268,3.2,-8.5372,Alto,13.953,SetpointFueraBanda,0.5212
DES_00000057,2024-03-25T18:11:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,vibracion,3.4508,3.2,7.8378,Alto,56.704,TransitorioArranque,0.6707
DES_00000058,2024-03-27T18:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.494,3.2,9.1883,Alto,22.638,SetpointFueraBanda,0.5797
DES_00000059,2024-03-29T13:44:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,425.5631,420.0,1.3246,Bajo,16.568,SetpointFueraBanda,0.1109
DES_00000060,2024-03-29T13:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.1231,3.2,-2.404,Bajo,54.539,MateriaPrimaVariable,0.1314
DES_00000061,2024-03-29T22:18:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,404.6446,420.0,-3.6561,Medio,14.991,InestabilidadControlPID,0.2354
DES_00000062,2024-04-01T01:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,120.8271,128.0,-5.6038,Medio,31.756,SetpointFueraBanda,0.302
DES_00000063,2024-04-01T10:01:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,112.5472,128.0,-12.0725,Critico,7.778,MateriaPrimaVariable,0.8377
DES_00000064,2024-04-02T06:46:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,vibracion,3.1736,3.2,-0.8237,Bajo,7.76,TransitorioArranque,0.059
DES_00000065,2024-04-03T18:25:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,2.9328,3.2,-8.3512,Alto,29.439,InestabilidadControlPID,0.4017
DES_00000066,2024-04-04T13:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,3.5605,3.2,11.2641,Alto,10.874,DerivaInstrumentacion,0.6639
DES_00000067,2024-04-06T08:33:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,presion_hidraulica,113.9886,128.0,-10.9464,Alto,6.847,MateriaPrimaVariable,0.79
DES_00000068,2024-04-06T21:28:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,459.8016,420.0,9.4766,Alto,41.006,TransitorioArranque,0.5179
DES_00000069,2024-04-10T04:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,presion_hidraulica,161.2697,128.0,25.992,Critico,9.566,TransitorioArranque,0.9696
DES_00000070,2024-04-10T09:36:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,123.6617,128.0,-3.3893,Bajo,24.294,TransitorioArranque,0.1676
DES_00000071,2024-04-13T07:26:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,torque_eje,475.7994,420.0,13.2856,Critico,15.69,TransitorioArranque,0.8332
DES_00000072,2024-04-13T09:46:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.3196,3.2,3.737,Medio,4.0,InestabilidadControlPID,0.3559
DES_00000073,2024-04-13T11:02:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,vibracion,2.8098,3.2,-12.1945,Critico,13.434,InestabilidadControlPID,0.6614
DES_00000074,2024-04-15T15:12:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.0186,3.2,-5.6689,Medio,36.713,TransitorioArranque,0.327
DES_00000075,2024-04-15T20:16:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,vibracion,3.4306,3.2,7.2054,Medio,15.362,TransitorioArranque,0.497
DES_00000076,2024-04-17T09:16:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,121.3847,128.0,-5.1682,Medio,4.0,DerivaInstrumentacion,0.3553
DES_00000077,2024-04-17T22:05:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,presion_hidraulica,124.793,128.0,-2.5055,Bajo,48.532,TransitorioArranque,0.1295
DES_00000078,2024-04-17T22:07:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,323.3407,420.0,-23.0141,Critico,23.068,DerivaInstrumentacion,0.98
DES_00000079,2024-04-19T08:58:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,374.4228,420.0,-10.8517,Alto,26.683,DerivaInstrumentacion,0.6207
DES_00000080,2024-04-20T19:30:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,126.4429,128.0,-1.2165,Bajo,8.027,InestabilidadControlPID,0.1247
DES_00000081,2024-04-21T12:17:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,presion_hidraulica,114.7837,128.0,-10.3252,Alto,24.405,TransitorioArranque,0.5151
DES_00000082,2024-04-23T04:55:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,torque_eje,416.0497,420.0,-0.9406,Bajo,5.713,InestabilidadControlPID,0.1642
DES_00000083,2024-04-24T14:45:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,123.2646,128.0,-3.6995,Medio,39.008,DerivaInstrumentacion,0.3616
DES_00000084,2024-04-25T04:19:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.2484,3.2,1.5139,Bajo,31.306,DerivaInstrumentacion,0.2336
DES_00000085,2024-04-29T00:36:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,vibracion,2.5405,3.2,-20.6085,Critico,16.739,SetpointFueraBanda,0.8262
DES_00000086,2024-04-30T16:15:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,448.7922,420.0,6.8553,Medio,33.011,InestabilidadControlPID,0.4633
DES_00000087,2024-05-02T20:49:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,424.6946,420.0,1.1178,Bajo,9.856,TransitorioArranque,0.076
DES_00000088,2024-05-03T06:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,134.1617,128.0,4.8138,Medio,33.761,MateriaPrimaVariable,0.3875
DES_00000089,2024-05-06T03:09:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,131.11,128.0,2.4297,Bajo,32.834,InestabilidadControlPID,0.2015
DES_00000090,2024-05-07T01:06:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.1383,3.2,-1.9294,Bajo,15.12,MateriaPrimaVariable,0.1999
DES_00000091,2024-05-07T04:48:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.2795,3.2,2.4836,Bajo,8.949,TransitorioArranque,0.3298
DES_00000092,2024-05-08T00:41:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,495.5487,420.0,17.9878,Critico,37.696,MateriaPrimaVariable,0.775
DES_00000093,2024-05-08T19:39:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.0828,3.2,-3.6612,Medio,33.716,MateriaPrimaVariable,0.3642
DES_00000094,2024-05-09T22:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,413.433,420.0,-1.5636,Bajo,19.344,DerivaInstrumentacion,0.1436
DES_00000095,2024-05-11T08:34:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,410.4732,420.0,-2.2683,Bajo,18.876,TransitorioArranque,0.1132
DES_00000096,2024-05-22T00:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.1618,3.2,-1.1948,Bajo,4.375,InestabilidadControlPID,0.2573
DES_00000097,2024-05-22T00:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,presion_hidraulica,135.7216,128.0,6.0325,Medio,21.837,InestabilidadControlPID,0.2196
DES_00000098,2024-05-25T18:25:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,presion_hidraulica,129.1258,128.0,0.8795,Bajo,10.042,MateriaPrimaVariable,0.2138
DES_00000099,2024-05-25T18:04:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,presion_hidraulica,129.1056,128.0,0.8638,Bajo,7.867,SetpointFueraBanda,0.1764
DES_00000100,2024-05-26T10:48:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,129.0063,128.0,0.7862,Bajo,14.38,InestabilidadControlPID,0.1138
DES_00000101,2024-05-28T22:47:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,122.3771,128.0,-4.3929,Medio,9.403,DerivaInstrumentacion,0.2914
DES_00000102,2024-05-29T23:35:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,413.0587,420.0,-1.6527,Bajo,9.316,MateriaPrimaVariable,0.1863
DES_00000103,2024-05-30T02:23:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,vibracion,3.5317,3.2,10.3654,Alto,47.786,DerivaInstrumentacion,0.5904
DES_00000104,2024-05-31T23:16:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,3.0677,3.2,-4.1332,Medio,10.035,SetpointFueraBanda,0.4131
DES_00000105,2024-06-05T01:19:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.4295,3.2,7.1724,Medio,13.979,TransitorioArranque,0.2874
DES_00000106,2024-06-07T00:34:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,vibracion,2.9794,3.2,-6.8933,Medio,43.873,TransitorioArranque,0.3652
DES_00000107,2024-06-07T03:27:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,torque_eje,403.875,420.0,-3.8393,Medio,8.356,DerivaInstrumentacion,0.3095
DES_00000108,2024-06-10T16:21:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,vibracion,2.7971,3.2,-12.5918,Critico,35.78,SetpointFueraBanda,0.685
DES_00000109,2024-06-11T09:56:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,426.5299,420.0,1.5547,Bajo,11.302,MateriaPrimaVariable,0.2835
DES_00000110,2024-06-12T07:04:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,vibracion,3.2963,3.2,3.0108,Bajo,21.744,MateriaPrimaVariable,0.0658
DES_00000111,2024-06-13T14:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,441.9518,420.0,5.2266,Medio,19.668,DerivaInstrumentacion,0.3764
DES_00000112,2024-06-14T11:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,116.9189,128.0,-8.6571,Alto,16.852,TransitorioArranque,0.6183
DES_00000113,2024-06-14T13:28:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,147.2875,128.0,15.0684,Critico,16.318,SetpointFueraBanda,0.8189
DES_00000114,2024-06-14T15:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.1217,3.2,-2.4476,Bajo,8.756,TransitorioArranque,0.2926
DES_00000115,2024-06-14T17:33:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,presion_hidraulica,120.0942,128.0,-6.1764,Medio,15.092,MateriaPrimaVariable,0.4439
DES_00000116,2024-06-17T05:26:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,360.7637,420.0,-14.1039,Critico,29.056,SetpointFueraBanda,0.6291
DES_00000117,2024-06-18T20:32:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,425.1019,420.0,1.2147,Bajo,26.514,SetpointFueraBanda,0.0637
DES_00000118,2024-06-19T13:49:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,presion_hidraulica,124.7208,128.0,-2.5619,Bajo,13.789,DerivaInstrumentacion,0.2251
DES_00000119,2024-06-20T10:08:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,torque_eje,433.7473,420.0,3.2732,Bajo,9.828,TransitorioArranque,0.1057
DES_00000120,2024-06-21T15:49:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,151.394,128.0,18.2765,Critico,15.197,TransitorioArranque,0.98
DES_00000121,2024-06-21T15:09:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ02,torque_eje,449.1555,420.0,6.9418,Medio,9.64,MateriaPrimaVariable,0.3712
DES_00000122,2024-06-21T18:00:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,132.5577,128.0,3.5607,Medio,22.646,InestabilidadControlPID,0.4286
DES_00000123,2024-06-22T07:06:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,446.0727,420.0,6.2078,Medio,8.986,SetpointFueraBanda,0.3473
DES_00000124,2024-06-22T08:13:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ06,presion_hidraulica,130.7079,128.0,2.1155,Bajo,40.991,SetpointFueraBanda,0.1327
DES_00000125,2024-06-22T10:39:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,torque_eje,408.1012,420.0,-2.8331,Bajo,4.345,SetpointFueraBanda,0.1787
DES_00000126,2024-06-24T04:57:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,137.875,128.0,7.7148,Alto,45.212,MateriaPrimaVariable,0.3957
DES_00000127,2024-06-24T16:37:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,presion_hidraulica,124.716,128.0,-2.5656,Bajo,13.829,DerivaInstrumentacion,0.2091
DES_00000128,2024-07-04T07:02:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ01,torque_eje,434.1437,420.0,3.3676,Bajo,4.906,InestabilidadControlPID,0.1717
DES_00000129,2024-07-05T08:11:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,406.0508,420.0,-3.3212,Bajo,18.174,TransitorioArranque,0.2083
DES_00000130,2024-07-05T10:32:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,torque_eje,392.6152,420.0,-6.5202,Medio,15.087,TransitorioArranque,0.419
DES_00000131,2024-07-06T22:52:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ05,torque_eje,427.8434,420.0,1.8675,Bajo,49.245,SetpointFueraBanda,0.2017
DES_00000132,2024-07-06T23:38:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ03,presion_hidraulica,122.178,128.0,-4.5485,Medio,34.741,InestabilidadControlPID,0.296
DES_00000133,2024-07-08T14:33:00,PLT_BIZ,PLT_BIZ_L01,PLT_BIZ_L01_EQ04,vibracion,3.1189,3.2,-2.5347,Bajo,4.0,TransitorioArranque,0.2529
