fecha,turno,planta_id,demanda_operativa_indice,mix_complejidad_indice,temperatura_ambiente,precio_energia_mercado_proxy,tension_operativa_proxy
2024-01-18,A,PLT_BIZ,1.1193,1.0311,16.88,161.385,0.9215
2024-01-18,B,PLT_BIZ,1.0754,1.0109,17.5,174.998,0.7897
2024-01-18,C,PLT_BIZ,1.0214,1.0336,18.52,149.812,0.9821
2024-01-19,A,PLT_BIZ,1.1177,0.998,15.0,167.327,0.7903
2024-01-19,B,PLT_BIZ,1.1066,1.107,19.61,153.479,0.9558
2024-01-19,C,PLT_BIZ,0.8884,1.0981,15.28,147.439,0.9854
2024-01-20,A,PLT_BIZ,1.0266,0.9466,18.77,130.689,0.8329
2024-01-20,B,PLT_BIZ,0.9333,1.1155,20.82,139.843,0.8133
2024-01-20,C,PLT_BIZ,0.9341,0.9222,20.24,141.208,0.9612
2024-01-21,A,PLT_BIZ,0.9883,1.0549,20.25,132.181,0.8471
2024-01-21,B,PLT_BIZ,1.0441,1.0591,20.01,147.105,0.8601
2024-01-21,C,PLT_BIZ,0.9143,1.1126,19.84,140.604,1.0981
2024-01-22,A,PLT_BIZ,1.1452,0.9995,18.15,156.959,0.8155
2024-01-22,B,PLT_BIZ,1.1268,1.1088,16.99,151.317,0.925
2024-01-22,C,PLT_BIZ,0.9737,1.0282,18.78,164.596,1.0771
2024-01-23,A,PLT_BIZ,1.1131,1.0249,13.81,167.738,0.954
2024-01-23,B,PLT_BIZ,1.0175,1.0253,12.24,172.498,0.8275
2024-01-23,C,PLT_BIZ,1.0418,1.0216,11.56,150.636,1.024
2024-01-24,A,PLT_BIZ,1.2031,1.0171,14.93,152.691,0.8295
2024-01-24,B,PLT_BIZ,1.0272,1.0209,12.58,166.38,0.8058
2024-01-24,C,PLT_BIZ,1.0046,1.0514,15.01,163.546,1.0001
2024-01-25,A,PLT_BIZ,1.1543,1.01,19.53,160.2,0.8598
2024-01-25,B,PLT_BIZ,1.2083,1.0979,19.29,162.169,0.9141
2024-01-25,C,PLT_BIZ,1.0762,1.089,19.88,170.741,1.1759
2024-01-26,A,PLT_BIZ,1.1053,1.1062,19.79,160.086,0.8984
2024-01-26,B,PLT_BIZ,1.0154,1.0389,19.78,170.591,0.8693
2024-01-26,C,PLT_BIZ,1.0215,1.0654,20.44,158.19,0.9738
2024-01-27,A,PLT_BIZ,1.0141,1.0582,19.57,140.27,0.8371
2024-01-27,B,PLT_BIZ,1.0173,0.9949,21.0,144.439,0.7861
2024-01-27,C,PLT_BIZ,0.9875,1.0848,21.05,149.82,0.9966
2024-01-28,A,PLT_BIZ,1.1118,1.0605,21.2,137.542,0.8704
2024-01-28,B,PLT_BIZ,1.0543,1.0931,19.24,151.557,0.8991
2024-01-28,C,PLT_BIZ,0.8904,1.0454,20.0,148.48,1.0171
2024-01-29,A,PLT_BIZ,1.0425,1.0322,10.83,168.868,0.8723
2024-01-29,B,PLT_BIZ,1.0706,1.0276,14.19,179.247,0.8583
2024-01-29,C,PLT_BIZ,1.0958,1.0255,13.73,160.826,1.0806
2024-01-30,A,PLT_BIZ,1.1525,1.0049,17.38,152.407,0.815
2024-01-30,B,PLT_BIZ,1.0741,1.0071,15.84,168.856,0.8534
2024-01-30,C,PLT_BIZ,1.0861,1.0737,18.36,154.766,1.0566
2024-01-31,A,PLT_BIZ,1.1242,1.0496,15.62,155.044,0.7757
2024-01-31,B,PLT_BIZ,1.1192,1.0142,19.31,171.448,0.8325
2024-01-31,C,PLT_BIZ,1.0792,1.0254,18.94,156.105,1.0448
2024-02-01,A,PLT_BIZ,1.0944,0.974,20.7,162.812,0.8042
2024-02-01,B,PLT_BIZ,1.079,0.9208,19.87,188.455,0.8605
2024-02-01,C,PLT_BIZ,1.0446,1.0001,21.08,173.626,0.9785
2024-02-02,A,PLT_BIZ,1.144,1.0614,17.9,179.692,0.9469
2024-02-02,B,PLT_BIZ,1.0601,1.0605,16.25,188.306,0.8763
2024-02-02,C,PLT_BIZ,1.0167,1.0124,15.22,176.356,0.9859
2024-02-03,A,PLT_BIZ,1.0128,1.0562,21.47,156.469,0.7885
2024-02-03,B,PLT_BIZ,0.9339,1.0194,19.68,163.876,0.8157
2024-02-03,C,PLT_BIZ,0.9284,1.0374,20.82,155.673,0.9792
2024-02-04,A,PLT_BIZ,1.1238,0.9905,22.15,161.494,0.8248
2024-02-04,B,PLT_BIZ,1.0437,1.0973,23.11,159.876,0.8745
2024-02-04,C,PLT_BIZ,0.8989,1.0467,21.84,155.752,1.029
2024-02-05,A,PLT_BIZ,1.1282,1.0324,15.66,157.693,0.9234
2024-02-05,B,PLT_BIZ,1.0345,1.0783,16.07,185.786,0.8627
2024-02-05,C,PLT_BIZ,0.9811,1.0215,16.81,168.988,1.0176
2024-02-06,A,PLT_BIZ,1.1067,0.9677,21.57,179.884,0.8195
2024-02-06,B,PLT_BIZ,1.0683,0.954,22.52,185.006,0.8758
2024-02-06,C,PLT_BIZ,1.1027,1.0012,21.45,166.339,1.0188
2024-02-07,A,PLT_BIZ,1.1943,1.077,19.66,173.488,0.886
2024-02-07,B,PLT_BIZ,1.0997,0.9072,18.65,190.474,0.8344
2024-02-07,C,PLT_BIZ,1.0448,1.0819,22.37,181.572,1.0524
2024-02-08,A,PLT_BIZ,1.1674,1.0394,21.25,177.055,0.9064
2024-02-08,B,PLT_BIZ,1.0634,0.9192,23.07,175.807,0.7947
2024-02-08,C,PLT_BIZ,1.0917,1.0314,22.2,164.217,1.1161
2024-02-09,A,PLT_BIZ,1.1021,1.0133,20.08,164.207,0.8616
2024-02-09,B,PLT_BIZ,1.0641,0.9992,20.17,191.836,0.7653
2024-02-09,C,PLT_BIZ,1.0847,1.0759,20.61,180.423,0.9922
2024-02-10,A,PLT_BIZ,1.1403,0.9227,24.01,150.052,0.7896
2024-02-10,B,PLT_BIZ,0.9898,0.9594,21.37,172.884,0.8072
2024-02-10,C,PLT_BIZ,0.9038,1.0737,24.55,152.371,0.9325
2024-02-11,A,PLT_BIZ,1.0018,1.0658,20.22,155.829,0.8188
2024-02-11,B,PLT_BIZ,1.0598,0.9831,21.38,173.797,0.8842
2024-02-11,C,PLT_BIZ,1.0187,0.9689,21.43,153.896,0.9088
2024-02-12,A,PLT_BIZ,1.0907,1.0156,23.72,167.791,0.8028
2024-02-12,B,PLT_BIZ,1.1506,1.0831,23.23,185.96,0.869
2024-02-12,C,PLT_BIZ,1.0444,0.9969,21.79,166.993,0.9279
2024-02-13,A,PLT_BIZ,1.194,1.0516,21.36,170.574,0.8674
2024-02-13,B,PLT_BIZ,1.0911,0.9969,20.97,178.193,0.8853
2024-02-13,C,PLT_BIZ,1.0869,1.0379,17.31,172.788,0.9992
2024-02-14,A,PLT_BIZ,1.2483,0.9673,23.6,194.665,0.8915
2024-02-14,B,PLT_BIZ,1.088,1.0254,23.98,182.857,0.8524
2024-02-14,C,PLT_BIZ,1.052,1.0736,21.4,177.669,1.0909
2024-02-15,A,PLT_BIZ,1.1269,1.0252,25.24,178.708,0.8873
2024-02-15,B,PLT_BIZ,1.0845,0.9241,18.72,173.242,0.9085
2024-02-15,C,PLT_BIZ,1.0649,0.9365,22.04,165.114,1.0982
2024-02-16,A,PLT_BIZ,1.16,1.0567,19.64,178.551,0.8694
2024-02-16,B,PLT_BIZ,1.1224,1.0266,22.17,197.471,0.8297
2024-02-16,C,PLT_BIZ,1.0655,0.9452,24.67,160.821,1.0344
2024-02-17,A,PLT_BIZ,1.1382,0.9741,24.42,156.457,0.9392
2024-02-17,B,PLT_BIZ,1.1138,0.9632,25.31,175.275,0.8713
2024-02-17,C,PLT_BIZ,1.0179,1.0201,24.56,153.354,0.9948
2024-02-18,A,PLT_BIZ,1.0847,0.9937,25.17,144.778,0.7942
2024-02-18,B,PLT_BIZ,1.0878,1.0117,26.14,164.302,0.8668
2024-02-18,C,PLT_BIZ,0.8952,0.9404,23.68,173.349,0.9423
2024-02-19,A,PLT_BIZ,1.1568,0.9644,20.28,171.791,0.8593
2024-02-19,B,PLT_BIZ,1.2291,1.0176,24.47,182.876,0.8904
2024-02-19,C,PLT_BIZ,1.0847,1.0877,20.34,176.615,1.036
2024-02-20,A,PLT_BIZ,1.233,0.9791,18.36,186.503,0.8721
2024-02-20,B,PLT_BIZ,1.1543,1.0202,20.22,196.266,0.8311
2024-02-20,C,PLT_BIZ,0.9968,1.0612,21.9,162.432,1.0081
2024-02-21,A,PLT_BIZ,1.1561,1.0243,23.89,172.696,0.9343
2024-02-21,B,PLT_BIZ,1.1282,1.0123,23.13,191.086,0.8583
2024-02-21,C,PLT_BIZ,1.07,0.9332,22.87,174.215,1.0722
2024-02-22,A,PLT_BIZ,1.1973,0.9992,21.16,179.408,0.9354
2024-02-22,B,PLT_BIZ,1.109,1.0452,23.56,178.566,0.8841
2024-02-22,C,PLT_BIZ,1.1369,1.0308,24.85,189.614,0.966
2024-02-23,A,PLT_BIZ,1.1681,1.0189,22.73,181.313,0.8709
2024-02-23,B,PLT_BIZ,0.9978,0.9464,21.55,193.479,0.7433
2024-02-23,C,PLT_BIZ,1.0622,1.0033,22.02,180.415,1.051
2024-02-24,A,PLT_BIZ,1.0646,0.9911,19.48,172.271,0.8235
2024-02-24,B,PLT_BIZ,1.0768,0.9816,18.9,167.814,0.8567
2024-02-24,C,PLT_BIZ,1.014,1.0005,21.58,154.663,1.0164
2024-02-25,A,PLT_BIZ,1.1231,0.9862,21.03,168.505,0.9039
2024-02-25,B,PLT_BIZ,1.0529,0.9377,23.02,175.032,0.789
2024-02-25,C,PLT_BIZ,1.0036,0.9943,20.83,159.24,0.967
2024-02-26,A,PLT_BIZ,1.196,0.8882,19.96,189.946,0.8179
2024-02-26,B,PLT_BIZ,1.1428,0.9131,21.92,190.221,0.8128
2024-02-26,C,PLT_BIZ,1.0268,0.9684,21.22,185.27,1.013
2024-02-27,A,PLT_BIZ,1.1696,0.9758,19.83,164.154,0.8931
2024-02-27,B,PLT_BIZ,1.1596,1.0262,20.73,200.444,0.8496
2024-02-27,C,PLT_BIZ,1.0856,0.9522,22.02,178.736,0.9475
2024-02-28,A,PLT_BIZ,1.2491,0.9707,20.1,171.728,0.9196
2024-02-28,B,PLT_BIZ,1.1443,0.9688,18.53,184.439,0.9341
2024-02-28,C,PLT_BIZ,1.0819,1.0177,20.7,179.296,1.0376
2024-02-29,A,PLT_BIZ,1.1529,0.9376,22.49,175.481,0.8786
2024-02-29,B,PLT_BIZ,1.163,1.0151,20.88,187.79,0.8008
2024-02-29,C,PLT_BIZ,1.0628,0.9222,19.97,184.561,1.021
2024-03-01,A,PLT_BIZ,1.2096,1.0126,21.03,184.189,0.8995
2024-03-01,B,PLT_BIZ,1.0925,0.9336,22.14,187.1,0.7617
2024-03-01,C,PLT_BIZ,1.0924,1.001,20.66,188.146,1.053
2024-03-02,A,PLT_BIZ,1.0737,1.0063,23.93,164.007,0.8247
2024-03-02,B,PLT_BIZ,0.977,0.8959,22.56,176.806,0.7715
2024-03-02,C,PLT_BIZ,0.9517,1.0075,22.09,154.962,0.948
2024-03-03,A,PLT_BIZ,1.1435,0.9683,24.5,169.456,0.8071
2024-03-03,B,PLT_BIZ,1.0811,0.9722,24.35,157.518,0.9077
2024-03-03,C,PLT_BIZ,0.9417,1.0199,24.89,165.03,0.9324
2024-03-04,A,PLT_BIZ,1.1559,0.9806,21.97,184.278,0.8762
2024-03-04,B,PLT_BIZ,1.1134,1.0502,21.79,191.196,0.888
2024-03-04,C,PLT_BIZ,1.1363,0.9918,20.92,170.864,1.0713
2024-03-05,A,PLT_BIZ,1.1656,0.9415,25.15,181.596,0.8336
2024-03-05,B,PLT_BIZ,1.1611,0.9822,23.34,194.809,0.8538
2024-03-05,C,PLT_BIZ,1.111,0.9217,23.56,175.362,0.9916
2024-03-06,A,PLT_BIZ,1.1149,1.0447,23.79,186.329,0.9259
2024-03-06,B,PLT_BIZ,1.1888,0.9014,23.23,185.391,0.7739
2024-03-06,C,PLT_BIZ,1.0512,0.9687,24.68,183.372,0.9824
2024-03-07,A,PLT_BIZ,1.2614,0.9952,22.39,187.575,0.9681
2024-03-07,B,PLT_BIZ,1.1059,0.8054,23.91,188.019,0.829
2024-03-07,C,PLT_BIZ,1.0697,0.8637,23.73,183.1,1.0683
2024-03-08,A,PLT_BIZ,1.1552,0.9008,21.41,185.628,0.7663
2024-03-08,B,PLT_BIZ,1.1619,0.9491,23.18,184.418,0.8643
2024-03-08,C,PLT_BIZ,1.1149,0.9941,21.52,193.247,1.0435
2024-03-09,A,PLT_BIZ,1.1267,1.0744,24.12,156.823,0.8586
2024-03-09,B,PLT_BIZ,1.0619,1.0058,21.99,176.201,0.9746
2024-03-09,C,PLT_BIZ,0.9999,0.9676,22.89,169.592,0.8577
2024-03-10,A,PLT_BIZ,1.0301,1.0263,22.86,171.111,0.7846
2024-03-10,B,PLT_BIZ,0.9949,0.9227,19.52,178.504,0.7799
2024-03-10,C,PLT_BIZ,0.9818,0.9502,19.86,165.633,0.9491
2024-03-11,A,PLT_BIZ,1.1489,1.0054,27.75,173.371,0.8879
2024-03-11,B,PLT_BIZ,1.1671,1.0269,28.22,181.529,0.8896
2024-03-11,C,PLT_BIZ,1.0717,0.9512,27.88,182.216,1.0359
2024-03-12,A,PLT_BIZ,1.1992,0.929,27.22,173.529,0.9293
2024-03-12,B,PLT_BIZ,1.1191,0.965,27.07,192.887,0.8317
2024-03-12,C,PLT_BIZ,1.1495,0.9461,26.07,178.052,1.0914
2024-03-13,A,PLT_BIZ,1.2187,1.0036,23.74,188.638,0.9005
2024-03-13,B,PLT_BIZ,1.1222,1.0168,28.33,196.414,0.8143
2024-03-13,C,PLT_BIZ,1.1558,0.8751,25.87,199.417,0.9061
2024-03-14,A,PLT_BIZ,1.159,0.9481,26.3,176.084,0.821
2024-03-14,B,PLT_BIZ,1.0898,1.0252,22.61,187.926,0.9096
2024-03-14,C,PLT_BIZ,1.0938,0.9893,20.9,168.049,1.0335
2024-03-15,A,PLT_BIZ,1.162,0.9432,16.15,159.131,0.8272
2024-03-15,B,PLT_BIZ,1.1242,0.9037,18.94,196.402,0.7833
2024-03-15,C,PLT_BIZ,1.1174,1.0459,16.09,186.834,1.0946
2024-03-16,A,PLT_BIZ,1.0603,1.012,22.92,154.977,0.8824
2024-03-16,B,PLT_BIZ,1.064,0.9872,23.04,168.784,0.7593
2024-03-16,C,PLT_BIZ,0.9098,0.9591,24.26,168.172,0.9673
2024-03-17,A,PLT_BIZ,1.1296,0.9227,27.22,157.374,0.9611
2024-03-17,B,PLT_BIZ,1.0782,0.9882,26.34,176.699,0.8446
2024-03-17,C,PLT_BIZ,0.9984,0.9914,26.92,151.834,1.0565
2024-03-18,A,PLT_BIZ,1.1721,0.8622,22.2,189.651,0.8473
2024-03-18,B,PLT_BIZ,1.1538,1.0019,23.82,196.247,0.8732
2024-03-18,C,PLT_BIZ,1.0057,0.9732,22.15,185.131,0.9877
2024-03-19,A,PLT_BIZ,1.1733,0.9113,22.79,186.518,0.8058
2024-03-19,B,PLT_BIZ,1.0931,0.956,20.25,185.763,0.9246
2024-03-19,C,PLT_BIZ,1.0678,0.9464,24.75,173.571,0.9885
2024-03-20,A,PLT_BIZ,1.1239,0.9456,20.96,190.31,0.8216
2024-03-20,B,PLT_BIZ,1.1391,0.9302,23.14,201.946,0.8591
2024-03-20,C,PLT_BIZ,1.0413,0.9192,20.78,170.643,0.9358
2024-03-21,A,PLT_BIZ,1.1392,0.9361,24.25,188.312,0.9418
2024-03-21,B,PLT_BIZ,1.1466,0.9225,23.96,190.58,0.8701
2024-03-21,C,PLT_BIZ,1.0989,1.0046,24.99,191.989,1.0691
2024-03-22,A,PLT_BIZ,1.1434,1.0007,22.95,197.083,0.7806
2024-03-22,B,PLT_BIZ,1.0696,0.9924,22.31,195.52,0.7869
2024-03-22,C,PLT_BIZ,1.1049,0.9641,24.34,180.413,1.0232
2024-03-23,A,PLT_BIZ,1.0926,0.9116,24.96,168.298,0.7588
2024-03-23,B,PLT_BIZ,1.0728,0.9886,23.64,175.065,0.7347
2024-03-23,C,PLT_BIZ,1.001,0.9398,26.85,164.338,1.0112
2024-03-24,A,PLT_BIZ,1.0631,0.9363,26.56,169.329,0.7282
2024-03-24,B,PLT_BIZ,1.1091,0.9017,24.5,180.095,0.8177
2024-03-24,C,PLT_BIZ,0.9884,0.9027,25.26,165.841,0.9336
2024-03-25,A,PLT_BIZ,1.2017,0.9554,26.66,182.662,0.9059
2024-03-25,B,PLT_BIZ,1.1809,0.9267,25.8,194.214,0.7746
2024-03-25,C,PLT_BIZ,1.1589,0.9729,24.92,179.246,1.064
2024-03-26,A,PLT_BIZ,1.1887,0.9847,25.0,195.06,0.9322
2024-03-26,B,PLT_BIZ,1.0936,0.9238,24.25,197.097,0.7488
2024-03-26,C,PLT_BIZ,1.1062,1.0232,23.26,202.819,1.0545
2024-03-27,A,PLT_BIZ,1.2082,0.9879,23.08,178.193,0.8264
2024-03-27,B,PLT_BIZ,1.1737,0.9742,22.96,188.017,0.9181
2024-03-27,C,PLT_BIZ,1.0393,0.962,24.53,179.709,0.9888
2024-03-28,A,PLT_BIZ,1.3289,0.9633,23.93,179.936,1.0125
2024-03-28,B,PLT_BIZ,1.1493,0.9826,22.48,195.263,0.9311
2024-03-28,C,PLT_BIZ,1.1357,0.9605,23.99,178.589,1.1044
2024-03-29,A,PLT_BIZ,1.1887,1.0639,26.64,193.714,0.9348
2024-03-29,B,PLT_BIZ,1.1519,0.8736,27.33,204.377,0.7788
2024-03-29,C,PLT_BIZ,1.0643,0.8742,29.73,193.432,1.0078
2024-03-30,A,PLT_BIZ,1.1319,0.8887,28.87,157.647,0.8365
2024-03-30,B,PLT_BIZ,1.1058,0.8898,28.19,179.336,0.8891
2024-03-30,C,PLT_BIZ,0.9947,0.9607,26.91,165.832,1.0151
2024-03-31,A,PLT_BIZ,1.1,0.9241,24.66,168.261,0.7875
2024-03-31,B,PLT_BIZ,1.0523,0.9851,23.98,181.717,0.8839
2024-03-31,C,PLT_BIZ,1.0271,0.8562,23.59,170.43,1.0007
2024-04-01,A,PLT_BIZ,1.1023,0.9271,23.07,153.663,0.7258
2024-04-01,B,PLT_BIZ,1.1289,0.9742,21.66,174.832,0.8473
2024-04-01,C,PLT_BIZ,0.9847,1.075,20.38,161.96,1.0577
2024-04-02,A,PLT_BIZ,1.2117,0.9523,27.24,170.261,0.8753
2024-04-02,B,PLT_BIZ,1.1351,0.9202,29.55,178.338,0.9133
2024-04-02,C,PLT_BIZ,1.109,0.8591,27.61,164.054,0.999
2024-04-03,A,PLT_BIZ,1.1966,0.9149,26.1,172.159,0.7794
2024-04-03,B,PLT_BIZ,1.1102,0.8525,27.37,175.848,0.7415
2024-04-03,C,PLT_BIZ,1.1334,0.9314,27.12,165.545,1.1309
2024-04-04,A,PLT_BIZ,1.2156,0.9963,24.76,170.422,0.8358
2024-04-04,B,PLT_BIZ,1.1546,0.9336,22.82,187.748,0.8192
2024-04-04,C,PLT_BIZ,1.0827,0.9905,26.31,166.321,1.0468
2024-04-05,A,PLT_BIZ,1.209,0.8849,26.53,150.699,0.9482
2024-04-05,B,PLT_BIZ,1.1579,0.9144,27.87,177.891,0.817
2024-04-05,C,PLT_BIZ,1.1225,0.9202,25.36,179.632,1.0371
2024-04-06,A,PLT_BIZ,1.1262,0.9271,23.11,163.564,0.8266
2024-04-06,B,PLT_BIZ,1.0049,0.9877,21.08,157.923,0.8386
2024-04-06,C,PLT_BIZ,1.0603,0.952,18.5,144.316,1.014
2024-04-07,A,PLT_BIZ,1.0257,0.9787,26.61,149.069,0.7954
2024-04-07,B,PLT_BIZ,1.0415,0.8948,22.05,151.727,0.6899
2024-04-07,C,PLT_BIZ,1.0155,1.0522,23.91,161.841,0.9852
2024-04-08,A,PLT_BIZ,1.1129,0.9243,22.73,167.396,0.845
2024-04-08,B,PLT_BIZ,1.1695,0.9496,21.61,185.152,0.8925
2024-04-08,C,PLT_BIZ,1.0299,0.9017,20.93,153.507,0.9894
2024-04-09,A,PLT_BIZ,1.2255,0.9929,22.39,163.733,0.9424
2024-04-09,B,PLT_BIZ,1.096,0.927,20.5,186.323,0.7602
2024-04-09,C,PLT_BIZ,1.0341,0.8321,22.53,161.999,0.9882
2024-04-10,A,PLT_BIZ,1.2018,0.9401,20.64,165.435,0.9905
2024-04-10,B,PLT_BIZ,1.1284,0.9168,20.31,181.249,0.7839
2024-04-10,C,PLT_BIZ,1.0374,0.992,21.93,162.25,1.0372
2024-04-11,A,PLT_BIZ,1.1835,0.955,23.0,173.631,0.7739
2024-04-11,B,PLT_BIZ,1.1727,0.9871,23.61,168.15,0.8233
2024-04-11,C,PLT_BIZ,1.0551,0.8728,23.74,174.027,1.029
2024-04-12,A,PLT_BIZ,1.2158,0.9927,25.58,166.529,0.8824
2024-04-12,B,PLT_BIZ,1.1695,1.0123,25.29,171.233,0.8944
2024-04-12,C,PLT_BIZ,1.0169,1.0041,24.51,169.635,1.0322
2024-04-13,A,PLT_BIZ,1.165,0.9313,23.02,146.96,0.8324
2024-04-13,B,PLT_BIZ,1.1249,0.9683,24.39,167.487,0.7745
2024-04-13,C,PLT_BIZ,1.0267,0.9691,24.2,149.04,0.9574
2024-04-14,A,PLT_BIZ,1.1007,0.9678,18.44,141.818,0.8384
2024-04-14,B,PLT_BIZ,1.0248,0.9596,17.48,162.69,0.7717
2024-04-14,C,PLT_BIZ,0.9391,1.0174,19.57,144.984,1.0375
2024-04-15,A,PLT_BIZ,1.2446,0.9926,22.54,181.45,0.8469
2024-04-15,B,PLT_BIZ,1.1094,1.025,27.05,173.797,0.8641
2024-04-15,C,PLT_BIZ,1.0903,0.973,23.96,162.872,1.0272
2024-04-16,A,PLT_BIZ,1.1725,0.8696,25.04,165.566,0.8629
2024-04-16,B,PLT_BIZ,1.0925,0.9643,23.63,180.924,0.8643
2024-04-16,C,PLT_BIZ,1.1072,0.9208,24.24,168.0,1.0017
2024-04-17,A,PLT_BIZ,1.2523,0.9509,23.71,172.864,0.8648
2024-04-17,B,PLT_BIZ,1.133,0.8783,22.88,192.322,0.8244
2024-04-17,C,PLT_BIZ,1.1163,0.9063,22.75,174.945,1.088
2024-04-18,A,PLT_BIZ,1.2214,0.8729,21.45,168.122,0.8353
2024-04-18,B,PLT_BIZ,1.0812,0.9424,23.29,177.741,0.744
2024-04-18,C,PLT_BIZ,1.0839,0.9423,20.78,171.025,0.9827
2024-04-19,A,PLT_BIZ,1.2181,0.9345,24.5,172.241,0.9063
2024-04-19,B,PLT_BIZ,1.18,0.8927,22.33,186.571,0.8566
2024-04-19,C,PLT_BIZ,1.173,0.9506,20.54,162.837,1.0273
2024-04-20,A,PLT_BIZ,1.1375,0.9749,30.38,155.135,0.9053
2024-04-20,B,PLT_BIZ,1.0536,0.9788,30.22,160.358,0.8465
2024-04-20,C,PLT_BIZ,0.9914,0.8868,32.78,153.649,0.9211
2024-04-21,A,PLT_BIZ,1.1549,0.9577,19.9,162.901,0.8547
2024-04-21,B,PLT_BIZ,1.0617,0.8487,20.72,167.85,0.6683
2024-04-21,C,PLT_BIZ,1.0006,0.9546,21.55,147.482,0.9704
2024-04-22,A,PLT_BIZ,1.1538,0.9454,25.3,169.457,0.8794
2024-04-22,B,PLT_BIZ,1.1135,0.9552,23.52,187.242,0.7572
2024-04-22,C,PLT_BIZ,1.028,0.9266,22.49,163.257,0.9213
2024-04-23,A,PLT_BIZ,1.2461,0.9946,18.7,169.956,0.9461
