tabla,columna,clasificacion,dtype,null_rate,n_unique,min,p50,p95,max
mantenimientos,fecha_fin,temporales,str,0.0,1383,,,,
mantenimientos,planta_id,identificadores,str,0.0,3,,,,
mantenimientos,linea_id,identificadores,str,0.0,12,,,,
mantenimientos,equipo_id,identificadores,str,0.0,71,,,,
mantenimientos,tipo_mantenimiento,estructurales,str,0.0,7,,,,
mantenimientos,programado_flag,booleanas,int64,0.0,2,0.0,0.0,1.0,1.0
mantenimientos,correctivo_flag,booleanas,int64,0.0,2,0.0,1.0,1.0,1.0
mantenimientos,horas_mantenimiento,metricas,float64,0.0,1155,0.5,2.397,6.989299999999996,16.419
mantenimientos,coste_mantenimiento_proxy,metricas,float64,0.0,1379,227.44,1688.74,5567.699999999999,13116.01
mantenimientos,resultado_mantenimiento,estructurales,str,0.0,6,,,,
emisiones_estimadas,timestamp,temporales,str,0.0,17544,,,,
emisiones_estimadas,planta_id,identificadores,str,0.0,3,,,,
emisiones_estimadas,linea_id,identificadores,str,0.0,12,,,,
emisiones_estimadas,fuente_energia,estructurales,str,0.0,2,,,,
emisiones_estimadas,consumo_kwh,metricas,float64,0.0,412190,546.3165,1533.1456,1925.604825,2768.958
emisiones_estimadas,factor_emision_proxy,metricas,float64,0.0,7297,0.17667,0.19606,0.25089,0.26576
emisiones_estimadas,emisiones_co2e_kg,metricas,float64,0.0,417794,102.79789,294.76934,455.46842000000004,640.65527
emisiones_estimadas,intensidad_emisiones_por_unidad,metricas,float64,0.0,402982,0.0,42.249804999999995,74.14934,20378.60936
iniciativas_mejora,iniciativa_id,identificadores,str,0.0,48,,,,
iniciativas_mejora,planta_id,identificadores,str,0.0,3,,,,
iniciativas_mejora,linea_id,identificadores,str,0.0,12,,,,
iniciativas_mejora,equipo_id,identificadores,str,0.166667,29,,,,
iniciativas_mejora,categoria_iniciativa,estructurales,str,0.0,4,,,,
iniciativas_mejora,tipo_iniciativa,estructurales,str,0.0,4,,,,
iniciativas_mejora,descripcion_resumida,estructurales,str,0.0,4,,,,
iniciativas_mejora,impacto_esperado_energia_pct,metricas,float64,0.0,48,0.995,4.492,16.596,17.795
iniciativas_mejora,impacto_esperado_oee_pct,metricas,float64,0.0,47,0.4,3.536,7.195549999999999,8.189
iniciativas_mejora,impacto_esperado_emisiones_pct,metricas,float64,0.0,48,0.846,3.6340000000000003,15.098249999999997,17.423
iniciativas_mejora,dificultad_implementacion,metricas,int64,0.0,5,1.0,3.5,5.0,5.0
iniciativas_mejora,quick_win_flag,booleanas,int64,0.0,2,0.0,0.0,1.0,1.0
capex_proyectos,proyecto_id,identificadores,str,0.0,48,,,,
capex_proyectos,iniciativa_id,identificadores,str,0.0,48,,,,
capex_proyectos,capex_estimado,metricas,float64,0.0,48,10541.91,202990.71999999997,2040623.7574999996,2309286.26
capex_proyectos,opex_impacto_proxy,metricas,float64,0.0,48,-3895.74,9369.505000000001,19291.0195,23553.43
capex_proyectos,ahorro_anual_estimado,metricas,float64,0.0,48,142958.97,359066.99,983154.5864999999,1059368.11
capex_proyectos,payback_estimado_meses,metricas,float64,0.0,38,2.5,6.9,29.972499999999997,41.96
capex_proyectos,criticidad_estrategica,metricas,int64,0.0,4,2.0,3.0,5.0,5.0
capex_proyectos,horizonte_implantacion,estructurales,str,0.0,3,,,,
capex_proyectos,riesgo_implantacion,estructurales,str,0.0,3,,,,
contexto_operativo,fecha,temporales,str,0.0,731,,,,
contexto_operativo,turno,identificadores,str,0.0,3,,,,
contexto_operativo,planta_id,identificadores,str,0.0,3,,,,
contexto_operativo,demanda_operativa_indice,metricas,float64,0.0,3185,0.6967,1.0132,1.1734,1.3289
contexto_operativo,mix_complejidad_indice,metricas,float64,0.0,2450,0.7753,1.0009,1.1088099999999999,1.2437
contexto_operativo,temperatura_ambiente,metricas,float64,0.0,2422,-2.99,13.97,24.99,32.78
contexto_operativo,precio_energia_mercado_proxy,metricas,float64,0.0,6292,90.553,144.435,182.48629999999997,211.226
contexto_operativo,tension_operativa_proxy,metricas,float64,0.0,3260,0.5951,0.8612,1.0544099999999998,1.2349
benchmark_externo_proxy,periodo,temporales,str,0.0,24,,,,
benchmark_externo_proxy,familia_proceso,estructurales,str,0.0,4,,,,
benchmark_externo_proxy,sec_referencia,metricas,float64,0.0,96,285.727,500.947,722.7715,732.244
benchmark_externo_proxy,oee_referencia,metricas,float64,0.0,96,80.685,86.751,92.14525,92.923
benchmark_externo_proxy,emisiones_referencia,metricas,float64,0.0,96,48.425,92.49950000000001,122.98125,124.887
benchmark_externo_proxy,disponibilidad_referencia,metricas,float64,0.0,95,92.111,95.6265,97.51175,97.995
escenarios_mejora,fecha,temporales,str,0.0,24,,,,
escenarios_mejora,escenario,identificadores,str,0.0,4,,,,
escenarios_mejora,precio_energia_shock,metricas,float64,0.0,80,0.983,1.0885,1.38425,1.403
escenarios_mejora,presion_demanda_indice,metricas,float64,0.0,76,0.961,1.044,1.28175,1.307
escenarios_mejora,disponibilidad_personal_indice,metricas,float64,0.0,75,0.837,0.957,1.01525,1.039
escenarios_mejora,restriccion_operativa_indice,metricas,float64,0.0,84,0.951,1.064,1.3165,1.341
