iniciativa_id,planta_id,linea_id,equipo_id,categoria_iniciativa,tipo_iniciativa,descripcion_resumida,impacto_esperado_energia_pct,impacto_esperado_oee_pct,impacto_esperado_emisiones_pct,dificultad_implementacion,quick_win_flag,capex_estimado,opex_impacto_proxy,ahorro_anual_estimado,payback_estimado_meses,criticidad_estrategica,horizonte_implantacion,riesgo_implantacion,prioridad_compuesta
INI_0000035,PLT_CAN,PLT_CAN_L01,PLT_CAN_L01_EQ06,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,3.871,4.548,3.275,4,0,424095.35,16342.46,538241.11,9.75,3,0-12 meses,Alto,4.991761538461539
INI_0000036,PLT_CAN,PLT_CAN_L01,,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,15.322,4.332,9.398,5,0,2309286.26,12080.04,1014867.39,27.63,4,24-48 meses,Alto,8.602088165038001
INI_0000037,PLT_CAN,PLT_CAN_L02,PLT_CAN_L02_EQ01,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,3.199,0.595,1.403,1,1,16798.48,9545.68,181393.7,2.5,3,0-12 meses,Bajo,8.389050000000001
INI_0000038,PLT_CAN,PLT_CAN_L02,PLT_CAN_L02_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.636,2.186,1.398,4,0,194273.08,9825.45,148064.0,16.86,4,12-24 meses,Bajo,2.706579715302491
INI_0000039,PLT_CAN,PLT_CAN_L02,PLT_CAN_L02_EQ05,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,3.475,4.617,5.786,3,0,241518.37,5653.9,347643.21,8.47,4,0-12 meses,Bajo,5.624906316410861
INI_0000040,PLT_CAN,PLT_CAN_L02,PLT_CAN_L02_EQ02,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,14.736,8.189,15.961,5,0,1823819.02,11354.32,924259.38,23.97,5,12-24 meses,Alto,10.78603222778473
INI_0000041,PLT_CAN,PLT_CAN_L03,PLT_CAN_L03_EQ03,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,5.097,0.595,3.529,2,1,35045.7,7453.15,224703.33,2.5,3,0-12 meses,Bajo,9.38365
INI_0000042,PLT_CAN,PLT_CAN_L03,,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,1.556,2.195,2.189,2,0,92001.19,8817.81,170346.71,6.83,3,0-12 meses,Medio,4.1495432650073205
INI_0000043,PLT_CAN,PLT_CAN_L03,PLT_CAN_L03_EQ01,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,7.176,5.486,3.539,3,0,376714.76,9972.8,487937.05,9.46,3,0-12 meses,Medio,6.317723678646934
INI_0000044,PLT_CAN,PLT_CAN_L03,PLT_CAN_L03_EQ06,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,9.033,5.735,10.852,4,0,1504127.07,10166.18,678955.17,26.99,4,24-48 meses,Alto,7.3698113931085585
INI_0000045,PLT_CAN,PLT_CAN_L04,,EficienciaEnergetica,QuickWinOperativo,Ajuste fino de setpoints y secuencia de arranque/parada,4.464,1.046,1.858,2,1,10541.91,6558.57,142958.97,2.5,2,0-12 meses,Medio,8.9723
INI_0000046,PLT_CAN,PLT_CAN_L04,PLT_CAN_L04_EQ04,Confiabilidad,MantenimientoPredictivo,Analitica predictiva de fallo en equipos criticos,2.144,1.871,1.925,2,0,126327.15,13064.01,172061.19,9.53,2,0-12 meses,Medio,3.5699269150052464
INI_0000047,PLT_CAN,PLT_CAN_L04,PLT_CAN_L04_EQ03,OptimizacionProceso,ControlAvanzado,Control multivariable para reducir variabilidad de proceso,4.227,2.704,4.146,3,0,328251.49,5439.96,254530.98,15.81,3,12-24 meses,Medio,4.22206660341556
INI_0000048,PLT_CAN,PLT_CAN_L04,PLT_CAN_L04_EQ04,TransformacionIndustrial,CAPEXTransformacional,Revamping de equipos termicos y recuperacion de calor,8.273,3.022,17.423,4,0,1359683.15,3759.75,392629.45,41.96,3,24-48 meses,Medio,7.579483317445185
