sector_profile_id,iniciativa_id,planta_id,linea_id,categoria_iniciativa,sector_category,tipo_iniciativa,sector_type,quick_win_flag,improvement_priority_index,decision_rule,portfolio_wave,selected_portfolio_flag,annual_saving_proxy,downside_adjusted_value,downside_adjusted_value_sector,capex_estimado,sector_capex_budget,sector_opex_budget
petronor,INI_0000011,PLT_BIZ,PLT_BIZ_L03,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,52.71477393358152,ejecutar en siguiente ola,OLA_2,1,575912.223811396,1461371.1713974308,1810638.8813614168,251616.61,12000000.0,2400000.0
petronor,INI_0000016,PLT_BIZ,PLT_BIZ_L04,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,48.75314158710868,ejecutar en siguiente ola,OLA_2,1,1113410.068843247,1372109.713560186,1700043.9351010704,1474484.18,12000000.0,2400000.0
petronor,INI_0000014,PLT_BIZ,PLT_BIZ_L04,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,54.46935348409363,ejecutar en siguiente ola,OLA_2,1,491420.96063789784,1362239.7153572238,1687815.0073276001,131768.54,12000000.0,2400000.0
petronor,INI_0000003,PLT_BIZ,PLT_BIZ_L01,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,51.40551669981019,ejecutar en siguiente ola,OLA_2,1,555914.4796750102,1456615.0341968185,1804746.027369858,211708.36,12000000.0,2400000.0
petronor,INI_0000001,PLT_BIZ,PLT_BIZ_L01,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,55.23690923496155,analizar técnicamente,BACKLOG,0,423548.223427825,1302019.9227006463,1613202.6842261008,32927.74,12000000.0,2400000.0
petronor,INI_0000041,PLT_CAN,PLT_CAN_L03,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,55.33339969657905,analizar técnicamente,BACKLOG,0,411663.6971219881,1256086.2318697227,1556290.8412865864,35045.7,12000000.0,2400000.0
petronor,INI_0000018,PLT_ALA,PLT_ALA_L01,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,52.114410474928285,ejecutar en siguiente ola,OLA_2,1,503297.01877636946,1359601.570240826,1684546.3455283835,147822.27,12000000.0,2400000.0
petronor,INI_0000035,PLT_CAN,PLT_CAN_L01,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,47.97102895844811,mantener en pipeline,BACKLOG,0,601233.1525014177,1368584.7278720322,1695676.4778334477,424095.35,12000000.0,2400000.0
petronor,INI_0000038,PLT_CAN,PLT_CAN_L02,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,51.27696736550332,ejecutar en siguiente ola,OLA_2,1,473917.03222686145,1235856.7318206376,1531226.49072577,194273.08,12000000.0,2400000.0
petronor,INI_0000007,PLT_BIZ,PLT_BIZ_L02,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,51.12661020114759,analizar técnicamente,BACKLOG,0,512167.1400376941,1294351.040448313,1603700.93911546,232285.42,12000000.0,2400000.0
petronor,INI_0000029,PLT_ALA,PLT_ALA_L04,EficienciaEnergetica,Eficiencia Energética Refino,QuickWinOperativo,Ajuste Operativo de Unidad,1,52.14512050854651,analizar técnicamente,BACKLOG,0,392954.7619221416,1198415.9019761097,1484837.3025484001,34303.97,12000000.0,2400000.0
petronor,INI_0000034,PLT_CAN,PLT_CAN_L01,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,48.28472174785386,ejecutar en siguiente ola,OLA_2,1,474182.1567700716,1260107.2251106354,1561272.8519120773,180678.76,12000000.0,2400000.0
petronor,INI_0000026,PLT_ALA,PLT_ALA_L03,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,50.11322726484974,ejecutar en siguiente ola,OLA_3,1,425085.8484092947,1169884.8655445504,1449487.3484096979,106763.12,12000000.0,2400000.0
petronor,INI_0000010,PLT_BIZ,PLT_BIZ_L03,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,50.39664964734863,ejecutar en siguiente ola,OLA_3,1,404307.8630853521,1109156.3606816684,1374244.7308845872,101707.1,12000000.0,2400000.0
petronor,INI_0000043,PLT_CAN,PLT_CAN_L03,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,48.813274347921535,mantener en pipeline,BACKLOG,0,525503.9875106984,1195218.1377666052,1480875.2726928238,376714.76,12000000.0,2400000.0
petronor,INI_0000047,PLT_CAN,PLT_CAN_L04,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,47.884938479384694,mantener en pipeline,BACKLOG,0,509807.0319691505,1201690.2877563252,1488894.266530087,328251.49,12000000.0,2400000.0
petronor,INI_0000031,PLT_ALA,PLT_ALA_L04,OptimizacionProceso,Optimización de Severidad Operativa,ControlAvanzado,APC / Optimización de Setpoints,0,48.50620751692445,mantener en pipeline,BACKLOG,0,497925.3127087059,1180289.8346102077,1462379.1050820474,307450.01,12000000.0,2400000.0
petronor,INI_0000022,PLT_ALA,PLT_ALA_L02,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,47.73807051117856,ejecutar en siguiente ola,OLA_3,1,384629.70301793225,1032819.841060533,1279663.7830740004,120308.12,12000000.0,2400000.0
petronor,INI_0000042,PLT_CAN,PLT_CAN_L03,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,49.59509358359085,ejecutar en siguiente ola,OLA_3,1,366079.186398058,1011255.6252245156,1252945.719653175,92001.19,12000000.0,2400000.0
petronor,INI_0000002,PLT_BIZ,PLT_BIZ_L01,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,45.047315835376274,mantener en pipeline,BACKLOG,0,360506.7250974227,994146.5726125974,1231747.603467008,93007.18,12000000.0,2400000.0
petronor,INI_0000040,PLT_CAN,PLT_CAN_L02,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,45.79499765388323,mantener en pipeline,BACKLOG,0,1048731.19407723,859436.405615273,1064841.7065573232,1823819.02,12000000.0,2400000.0
petronor,INI_0000006,PLT_BIZ,PLT_BIZ_L02,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,45.726955311720566,mantener en pipeline,BACKLOG,0,353061.03073832614,953982.6070166446,1181984.4500936226,111259.07,12000000.0,2400000.0
petronor,INI_0000012,PLT_BIZ,PLT_BIZ_L03,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,43.73901940292022,mantener en pipeline,BACKLOG,0,947201.5732633268,821346.4233480304,1017648.2185282097,1602956.16,12000000.0,2400000.0
petronor,INI_0000048,PLT_CAN,PLT_CAN_L04,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,43.437144816179845,mantener en pipeline,BACKLOG,0,874357.6934379594,883126.9869422092,1094194.336821397,1359683.15,12000000.0,2400000.0
petronor,INI_0000030,PLT_ALA,PLT_ALA_L04,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,43.30490878613936,mantener en pipeline,BACKLOG,0,336025.9397904129,871682.871398656,1080015.0776629348,137063.15,12000000.0,2400000.0
petronor,INI_0000046,PLT_CAN,PLT_CAN_L04,Confiabilidad,Integridad y Confiabilidad,MantenimientoPredictivo,Reliability Program,0,45.82354047373918,mantener en pipeline,BACKLOG,0,338008.8936864064,886510.4986850672,1098386.5078707982,126327.15,12000000.0,2400000.0
petronor,INI_0000004,PLT_BIZ,PLT_BIZ_L01,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,39.90593552497974,descartar,BACKLOG,0,868332.7365861812,785149.0257298632,972799.6428793005,1442465.83,12000000.0,2400000.0
petronor,INI_0000032,PLT_ALA,PLT_ALA_L04,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,40.40875035139642,mantener en pipeline,BACKLOG,0,857996.241786095,759989.4140403409,941626.8839959824,1434674.61,12000000.0,2400000.0
petronor,INI_0000044,PLT_CAN,PLT_CAN_L03,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,41.338219615853774,mantener en pipeline,BACKLOG,0,846505.8581306598,660719.5630673087,818631.5386403955,1504127.07,12000000.0,2400000.0
petronor,INI_0000024,PLT_ALA,PLT_ALA_L02,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,40.600888276921914,mantener en pipeline,BACKLOG,0,943134.168436069,264492.54790651187,327706.2668561682,2157364.77,12000000.0,2400000.0
petronor,INI_0000036,PLT_CAN,PLT_CAN_L01,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,37.2684683724498,descartar,BACKLOG,0,1016005.6043358344,289159.19485270674,358268.24242250365,2309286.26,12000000.0,2400000.0
petronor,INI_0000028,PLT_ALA,PLT_ALA_L03,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,30.097714912987406,descartar,BACKLOG,0,182610.9680151556,-307624.67116817756,-381146.967577372,855925.02,12000000.0,2400000.0
petronor,INI_0000008,PLT_BIZ,PLT_BIZ_L02,TransformacionIndustrial,Transformación Tecnológica y Descarbonización,CAPEXTransformacional,Proyecto de Conversión y Eficiencia,0,35.8752867960042,descartar,BACKLOG,0,839257.1272649951,-56814.97930745134,-70393.75936193221,2206381.42,12000000.0,2400000.0
